cid,cmpdname,cmpdsynonym,mw,mf,polararea,complexity,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,inchikey,iupacname,meshheadings,annothits,annothitcnt,aids,cidcdate,dois
74817986,[3-[1-[Methyl(1-phenylethyl)amino]ethyl]phenyl] N-ethyl-N-methylcarbamate,SCHEMBL19058705,340.500,C21H28N2O2,32.800,409.000,NULL,25,0,3,7,OLRGQJSWDPAGIB-UHFFFAOYSA-N,[3-[1-[methyl(1-phenylethyl)amino]ethyl]phenyl] N-ethyl-N-methylcarbamate,NULL,,,NULL,20140701,NULL
76973862,[3-[(1S)-1-[Bis(trideuteriomethyl)amino]ethyl]phenyl] N-ethyl-N-methylcarbamate;oxalic acid,NULL,346.410,C16H24N2O6,107.000,340.000,NULL,24,2,7,6,FXHKRHUSDQQARN-IYZJWPBXSA-N,[3-[(1S)-1-[bis(trideuteriomethyl)amino]ethyl]phenyl] N-ethyl-N-methylcarbamate;oxalic acid,NULL,,,NULL,20140825,NULL
77146706,3-(1-Aminoethyl)phenyl ethyl(methyl)carbamate,3-(1-aminoethyl)phenyl ethyl(methyl)carbamate|1346242-29-2,222.280,C12H18N2O2,55.600,233.000,1.300,16,1,3,4,WMKJSNGCDBLFMA-UHFFFAOYSA-N,[3-(1-aminoethyl)phenyl] N-ethyl-N-methylcarbamate,NULL,,,NULL,20140910,NULL
77298751,[5-[1-(Dimethylamino)ethyl]-2-fluorophenyl] N-ethyl-N-methylcarbamate,NULL,268.330,C14H21FN2O2,32.800,299.000,NULL,19,0,4,5,BSMUCNBAXHGSML-UHFFFAOYSA-N,[5-[1-(dimethylamino)ethyl]-2-fluorophenyl] N-ethyl-N-methylcarbamate,NULL,1024,1,NULL,20140913,NULL
77298752,[3-[1-(Dimethylamino)ethyl]-4-fluorophenyl] N-ethyl-N-methylcarbamate,NULL,268.330,C14H21FN2O2,32.800,299.000,NULL,19,0,4,5,WTZJIQHALCAWCZ-UHFFFAOYSA-N,[3-[1-(dimethylamino)ethyl]-4-fluorophenyl] N-ethyl-N-methylcarbamate,NULL,1024,1,NULL,20140913,NULL
81372879,Ethyl N-[(1S)-1-(3-methoxyphenyl)ethyl]carbamate,AKOS019947754,223.270,C12H17NO3,47.600,220.000,NULL,16,1,3,5,PGWSIPLVLKIXDN-VIFPVBQESA-N,ethyl N-[(1S)-1-(3-methoxyphenyl)ethyl]carbamate,NULL,,,NULL,20141020,NULL
81373890,Ethyl N-[(1R)-1-(3-methoxyphenyl)ethyl]carbamate,AKOS019948889,223.270,C12H17NO3,47.600,220.000,NULL,16,1,3,5,PGWSIPLVLKIXDN-SECBINFHSA-N,ethyl N-[(1R)-1-(3-methoxyphenyl)ethyl]carbamate,NULL,,,NULL,20141020,NULL
82023505,Tert-butyl N-[2-amino-1-(3-methoxyphenyl)ethyl]-N-methylcarbamate,NULL,280.360,C15H24N2O3,64.800,315.000,NULL,20,1,4,6,BNTHGQREPXLPAL-UHFFFAOYSA-N,tert-butyl N-[2-amino-1-(3-methoxyphenyl)ethyl]-N-methylcarbamate,NULL,,,NULL,20141020,NULL
82124167,Tert-butyl N-[cyano-(3-methoxyphenyl)methyl]-N-methylcarbamate,NULL,276.330,C15H20N2O3,62.600,380.000,NULL,20,0,4,5,CACZFDIDCMWITP-UHFFFAOYSA-N,tert-butyl N-[cyano-(3-methoxyphenyl)methyl]-N-methylcarbamate,NULL,,,NULL,20141020,NULL
82124462,Tert-butyl N-[cyano-(3-ethoxyphenyl)methyl]-N-methylcarbamate,NULL,290.360,C16H22N2O3,62.600,394.000,NULL,21,0,4,6,BJEWEPXYWFQBAH-UHFFFAOYSA-N,tert-butyl N-[cyano-(3-ethoxyphenyl)methyl]-N-methylcarbamate,NULL,,,NULL,20141020,NULL
