cid,cmpdname,cmpdsynonym,mw,mf,polararea,complexity,xlogp,heavycnt,hbonddonor,hbondacc,rotbonds,inchikey,iupacname,meshheadings,annothits,annothitcnt,aids,cidcdate,dois
12418647,Phenylphosphinoradical,NULL,109.090,C6H6P,0.000,46.100,1.800,7,0,0,0,DSFGJJWXKWZFAW-UHFFFAOYSA-N,lambda2-phosphanylbenzene,NULL,1040,2,NULL,20070208,NULL
12456282,Dichloro(phenyl)germane,phenyldichloro-germane|Dichloro(phenyl)germane|DTXSID60566192,220.600,C6H5Cl2Ge,0.000,79.100,NULL,9,0,0,0,MWCKYKXUBVFWJB-UHFFFAOYSA-N,dichloro(phenyl)germanium,NULL,768,2,NULL,20070208,10.2478/s11696-010-0048-0
12464059,Iodocyclohexatriene,NULL,203.000,C6H4I,0.000,52.100,3.200,7,0,0,0,RQKOYKPIPIYRQH-UHFFFAOYSA-N,iodocyclohexatriene,NULL,,,NULL,20070208,NULL
12468898,Phenyltrichlorophosphonium,Phenyltrichlorophosphonium|chlorophenyldichlorophosphine|SCHEMBL3554057|LHFALRLPHYMZSL-UHFFFAOYSA-N,214.400,C6H5Cl3P+,0.000,104.000,NULL,10,0,0,0,LHFALRLPHYMZSL-UHFFFAOYSA-N,trichloro(phenyl)phosphanium,NULL,1296,3,NULL,20070208,10.1007/BF00923207|10.1007/BF01185920
12476360,Diiodophenylphosphine,diiodophenylphosphine|SCHEMBL971742,361.890,C6H5I2P,0.000,79.100,NULL,9,0,0,0,UOGKRVUAVNCBRS-UHFFFAOYSA-N,diiodo(phenyl)phosphane,NULL,1296,3,NULL,20070208,10.1007/BF00516965
12488467,Benzene-1-ylium-4-ide,"benzene-1,4-diyl|cyclohexa-1,2,4,5-tetraene|AKOS005063549|87861-EP2305648A1|87861-EP2295432A1|A809224",76.100,C6H4,0.000,21.000,NULL,6,0,0,0,AIESRBVWAFETPR-UHFFFAOYSA-N,"cyclohexa-1,2,4,5-tetraene",NULL,1296,3,NULL,20070208,NULL
12494365,Sodium;phenylphosphanide,SCHEMBL7763992,132.070,C6H6NaP,0.000,50.500,NULL,8,0,1,0,ARZCPDQBJYLXMI-UHFFFAOYSA-N,sodium;phenylphosphanide,NULL,1280,2,NULL,20070208,NULL
12494397,Chloro(phenyl)germane,Chloro(phenyl)germane|SCHEMBL10577121|DTXSID80823092,185.180,C6H5ClGe,0.000,59.500,NULL,8,0,0,0,FMVQBDOSXCIVSI-UHFFFAOYSA-N,chloro(phenyl)germanium,NULL,768,2,NULL,20070208,10.1023/A:1014992915564|10.1023/A:1016827114140|10.1134/S1070363206100100|10.1134/S1070363214020212|10.1134/S1995421211030075
12494398,Methylphenylchlorogermane,methylphenylchlorogermane,200.220,C7H8ClGe,0.000,79.000,NULL,9,0,0,1,PSWGLQXQOCCWHN-UHFFFAOYSA-N,chloro-methyl-phenylgermanium,NULL,256,1,NULL,20070208,10.1134/S1070363206100100
12495769,Phenylmercury(1+);hydroxide,NULL,294.700,C6H6HgO,1.000,46.100,NULL,8,1,1,0,NWDUDBMLUKJHGK-UHFFFAOYSA-M,phenylmercury(1+);hydroxide,NULL,512,1,NULL,20070208,NULL
12499349,Triiodo(phenyl)germane,"41856-42-2|triiodo(phenyl)germane|Germane, triiodophenyl-|CTK1D3608|DTXSID80500497",530.450,C6H5GeI3,0.000,104.000,NULL,10,0,0,0,IWXZDHSFDCAJQQ-UHFFFAOYSA-N,triiodo(phenyl)germane,NULL,512,1,NULL,20070208,NULL
12501023,Iodocyclohexatriene,NULL,203.000,C6H4I,0.000,46.100,3.200,7,0,0,0,GHQJICWFVFCPCQ-UHFFFAOYSA-N,iodocyclohexatriene,NULL,,,NULL,20070208,NULL
12501031,Fluorocyclohexatriene,NULL,95.090,C6H4F,0.000,46.100,2.300,7,0,1,0,PTTVRIGSUJQBPB-UHFFFAOYSA-N,fluorocyclohexatriene,NULL,1040,2,NULL,20070208,NULL
